Время;Значение
11:06:53,038;770,805545557218
11:06:53,109;770,803236073594
11:06:53,183;770,803236073594
11:06:53,255;770,803963133234
11:06:53,329;770,800584444471
11:06:53,400;770,806956908411
11:06:53,474;770,806956908411
11:06:53,568;770,806229848697
11:06:53,631;770,802124100062
11:06:53,694;770,802124100062
11:06:53,766;770,802680086823
11:06:53,839;770,804861265755
11:06:53,913;770,807085213068
11:06:53,985;770,807085213068
11:06:54,061;770,804775729323
11:06:54,128;770,807855041023
11:06:54,202;770,804519120029
11:06:54,277;770,804519120029
11:06:54,350;770,806058775826
11:06:54,422;770,804348047168
11:06:54,495;770,804348047168
11:06:54,568;770,806058775826
11:06:54,651;770,804647424676
11:06:54,715;770,804134206093
11:06:54,789;770,804134206093
11:06:54,861;770,806700299098
11:06:54,933;770,805374484351
11:06:55,043;770,805502789001
11:06:55,130;770,806016007608
11:06:55,210;770,805545557218
11:06:55,293;770,805545557218
11:06:55,426;770,808539332556
11:06:55,521;770,808496564335
11:06:55,612;770,803749292161
11:06:55,706;770,809009782994
11:06:55,800;770,809009782994
11:06:55,977;770,810463902576
11:06:56,083;770,807983345684
11:06:56,195;770,80699967663
11:06:56,287;770,80699967663
11:06:56,393;770,80866763722
11:06:56,495;770,806743067317
11:06:56,597;770,808881478328
11:06:56,717;770,806315385133
11:06:56,805;770,806315385133
11:06:56,906;770,808026113905
11:06:57,010;770,804775729323
11:06:57,113;770,806229848697
11:06:57,222;770,804262510738
11:06:57,319;770,806016007608
11:06:57,422;770,80319330538
11:06:57,524;770,807983345684
11:06:57,627;770,800841053731
11:06:57,731;770,805160643268
11:06:57,832;770,805246179701
11:06:57,937;770,806229848697
11:06:58,039;770,804262510738
11:06:58,142;770,804134206093
11:06:58,246;770,80460465646
11:06:58,349;770,804476351814
11:06:58,452;770,805288947917
11:06:58,555;770,803492682877
11:06:58,657;770,806315385133
11:06:58,760;770,803236073594
11:06:58,864;770,805887702955
11:06:58,967;770,808368259671
11:06:59,069;770,804904033971
11:06:59,173;770,808239955008
11:06:59,276;770,805631093652
11:06:59,378;770,807213517726
11:06:59,482;770,807726736363
11:06:59,585;770,805887702955
11:06:59,687;770,805032338619
11:06:59,791;770,802509013972
11:06:59,894;770,805887702955
11:06:59,996;770,806743067317
11:07:00,100;770,806016007608
11:07:00,203;770,804390815383
11:07:00,305;770,805246179701
11:07:00,409;770,803492682877
11:07:00,512;770,807127981287
11:07:00,614;770,806614762661
11:07:00,718;770,806144312261
11:07:00,821;770,809480233439
11:07:00,922;770,810121756786
11:07:01,027;770,808282723229
11:07:01,136;770,806187080479
11:07:01,232;770,808753173663
11:07:01,336;770,806358153351
11:07:01,437;770,809480233439
11:07:01,541;770,809394696994
11:07:01,645;770,80892424655
11:07:01,748;770,80699967663
11:07:01,850;770,810335597904
11:07:01,957;770,810250061457
11:07:02,056;770,810634975473
11:07:02,157;770,807512895263
11:07:02,263;770,806571994442
11:07:02,366;770,809052551216
11:07:02,485;770,809009782994
11:07:02,572;770,809394696994
