Время;Значение
11:06:53,037;4154,1971053231
11:06:53,108;4141,52121246418
11:06:53,182;4141,82911743989
11:06:53,254;4141,43703119265
11:06:53,328;4141,34735900259
11:06:53,400;4141,79781254578
11:06:53,474;4140,69772342883
11:06:53,568;4141,06076617039
11:06:53,621;4141,1903730778
11:06:53,693;4141,73775969731
11:06:53,766;4142,54008457797
11:06:53,839;4142,96695883676
11:06:53,912;4143,31511592711
11:06:53,984;4143,01861482344
11:06:54,060;4143,67935401697
11:06:54,127;4144,5935420035
11:06:54,202;4144,18300200904
11:06:54,277;4144,95812357555
11:06:54,350;4145,43734162946
11:06:54,421;4145,67861591168
11:06:54,495;4145,90669367775
11:06:54,568;4146,23343349713
11:06:54,650;4146,05981237648
11:06:54,714;4146,2770200797
11:06:54,788;4146,34544340763
11:06:54,861;4146,14939949109
11:06:54,933;4145,59308674599
11:06:55,043;4145,40680288295
11:06:55,127;4144,99760950913
11:06:55,210;4144,92918617801
11:06:55,293;4144,51632007543
11:06:55,426;4143,22025438659
11:06:55,520;4142,37457496274
11:06:55,612;4142,38027690752
11:06:55,705;4142,19634565389
11:06:55,799;4141,30622414132
11:06:55,977;4140,51116033139
11:06:56,082;4140,10672944618
11:06:56,195;4140,3140077587
11:06:56,287;4140,07847950706
11:06:56,392;4139,98045803754
11:06:56,494;4139,33332258929
11:06:56,597;4139,56449713491
11:06:56,717;4139,13418298111
11:06:56,804;4139,44725627602
11:06:56,906;4139,54527769324
11:06:57,009;4139,13204835295
11:06:57,112;4139,60533077362
11:06:57,217;4139,46592101019
11:06:57,319;4139,52853720837
11:06:57,421;4139,1422797799
11:06:57,524;4139,49682555666
11:06:57,626;4138,81101232379
11:06:57,730;4139,8648887759
11:06:57,832;4139,37612258465
11:06:57,936;4139,43006629435
11:06:58,038;4139,38968213532
11:06:58,141;4139,72094959613
11:06:58,245;4139,89053319168
11:06:58,348;4139,58094305748
11:06:58,451;4139,7432657952
11:06:58,554;4139,58410293847
11:06:58,656;4139,81269331816
11:06:58,760;4139,73042928155
11:06:58,863;4140,09014332541
11:06:58,966;4140,05246967666
11:06:59,069;4139,85608260507
11:06:59,172;4140,33972265302
11:06:59,275;4140,1781441644
11:06:59,378;4140,31902852744
11:06:59,481;4140,36218637176
11:06:59,584;4140,30465431446
11:06:59,687;4140,98911954895
11:06:59,790;4141,38996222596
11:06:59,893;4142,28183256152
11:06:59,996;4142,12544384992
11:07:00,099;4142,77379568702
11:07:00,202;4143,4443373282
11:07:00,305;4143,93692429718
11:07:00,408;4144,12058119226
11:07:00,511;4144,43423050736
11:07:00,614;4144,01491312068
11:07:00,717;4143,80742325874
11:07:00,820;4143,52162280862
11:07:00,921;4142,99700155198
11:07:01,026;4142,70090716367
11:07:01,135;4142,69559085044
11:07:01,232;4142,91326876365
11:07:01,335;4142,65465205951
11:07:01,436;4143,05020006701
11:07:01,541;4142,92802328846
11:07:01,644;4143,07738370946
11:07:01,747;4143,25627903708
11:07:01,850;4144,10099726328
11:07:01,957;4143,94305015892
11:07:02,055;4144,51354168338
11:07:02,157;4144,85431176797
11:07:02,262;4145,69531545101
11:07:02,365;4146,4197814098
11:07:02,485;4146,48478713071
11:07:02,571;4146,99875157967
11:07:02,673;4147,33589199507
11:07:02,777;4147,5459028322
11:07:02,879;4147,77203709847
11:07:02,986;4147,43771516016
11:07:03,086;4148,05815941273
11:07:03,188;4147,6797382361
11:07:03,292;4147,25700459463
11:07:03,395;4146,44288717557
11:07:03,498;4146,17767313077
11:07:03,601;4144,96640661617
11:07:03,704;4144,68504892909
11:07:03,814;4144,164849819
11:07:03,910;4143,06198503401
11:07:04,014;4142,90878244367
11:07:04,116;4141,90748577382
11:07:04,219;4142,32323631398
11:07:04,322;4142,01988120605
11:07:04,425;4141,75535117676
11:07:04,528;4141,88136994425
11:07:04,630;4141,74027460615
11:07:04,734;4141,42718023001
11:07:04,837;4141,47490954972
11:07:04,940;4141,49851023566
11:07:05,043;4141,69455344198
11:07:05,146;4141,65812245409
11:07:05,249;4142,06618389396
11:07:05,352;4142,19260961217
11:07:05,455;4141,7768169665
11:07:05,558;4142,15515342177
11:07:05,661;4141,87210665303
11:07:05,764;4141,97822431392
11:07:05,867;4141,69991760774
11:07:05,970;4141,77545407879
11:07:06,073;4142,00575103528
11:07:06,175;4142,03979386824
11:07:06,278;4142,26287218031
11:07:06,382;4141,82632226195
11:07:06,485;4142,01196558055
11:07:06,588;4141,48939499332
11:07:06,689;4141,90198533335
11:07:06,794;4141,25961067984
11:07:06,897;4141,71576614442
11:07:07,000;4141,12415426778
11:07:07,103;4141,35596784733
11:07:07,206;4141,24291202485
11:07:07,309;4141,58985297822
11:07:07,411;4141,47577192584
11:07:07,515;4141,51169016376
11:07:07,618;4141,50645862949
11:07:07,721;4141,72020458025
11:07:07,824;4141,89019547013
11:07:07,926;4141,87176296061
11:07:08,030;4142,17616423985
11:07:08,134;4142,379447226
11:07:08,236;4143,22463492748
11:07:08,339;4143,2620490522
11:07:08,442;4143,64535842754
11:07:08,545;4143,6678442101
11:07:08,647;4144,48742873952
11:07:08,751;4144,66692143987
11:07:08,854;4144,98465012046
11:07:08,957;4144,86604048805
11:07:09,060;4144,98992430619
11:07:09,163;4144,40713133995
11:07:09,266;4144,3993790832
11:07:09,369;4144,48134138919
11:07:09,472;4144,31124464994
11:07:09,574;4144,42771927284
11:07:09,678;4144,56770494833
11:07:09,779;4144,83783134493
11:07:09,884;4144,95389931258
11:07:09,987;4144,8991633825
11:07:10,095;4145,53137212722
11:07:10,193;4146,25684129859
11:07:10,296;4147,14205016939
11:07:10,399;4147,68247368378
11:07:10,502;4148,20632548615
11:07:10,605;4147,8582075272
11:07:10,708;4148,93768967159
11:07:10,812;4149,00617700418
11:07:10,914;4149,24832801042
11:07:11,017;4149,01407850512
11:07:11,120;4149,01570150746
11:07:11,223;4149,0177303026
11:07:11,335;4148,46818685217
11:07:11,428;4148,98860132178
11:07:11,532;4148,84126918173
11:07:11,634;4147,73692907118
11:07:11,738;4147,8688218503
11:07:11,841;4147,37822050772
11:07:11,943;4146,94967925975
11:07:12,047;4145,91416967098
11:07:12,149;4145,24680875808
11:07:12,253;4144,44809129468
11:07:12,356;4144,15233998257
11:07:12,459;4143,90339895034
11:07:12,562;4143,8452485111
11:07:12,665;4143,39052502724
11:07:12,768;4143,44038938301
11:07:12,871;4143,945341722
11:07:12,974;4144,16728959615
11:07:13,077;4144,32132676282
11:07:13,180;4144,28884350334
11:07:13,283;4144,4723308456
11:07:13,385;4144,20694478764
11:07:13,489;4145,19214001715
11:07:13,592;4145,15476807685
11:07:13,695;4144,4658580869
11:07:13,798;4144,84534663361
11:07:13,901;4144,49853202085
11:07:14,004;4144,66384598169
11:07:14,106;4144,51751857728
11:07:14,210;4143,77521953889
11:07:14,313;4144,27231381958
11:07:14,416;4143,98046834079
11:07:14,518;4144,01713698888
11:07:14,621;4143,82173315771
11:07:14,724;4144,2193950222
11:07:14,828;4143,43297579053
11:07:14,931;4143,81171878751
11:07:15,034;4143,82993448166
11:07:15,138;4143,29390940977
11:07:15,239;4143,15740602774
11:07:15,343;4142,65251708313
11:07:15,446;4142,5944724569
11:07:15,549;4142,63852909296
11:07:15,652;4142,90081854112
11:07:15,755;4142,3198385299
11:07:15,858;4142,55872301965
11:07:15,959;4142,30266923297
11:07:16,064;4142,99063885108
11:07:16,166;4142,66310738428
11:07:16,270;4142,75124182429
11:07:16,373;4143,25437697905
11:07:16,475;4144,29853621543
11:07:16,579;4144,105437172
11:07:16,681;4144,48349424736
11:07:16,784;4145,15591733078
11:07:16,888;4145,08405471919
11:07:16,991;4145,62010128367
11:07:17,094;4145,82389737011
11:07:17,196;4145,82451623576
11:07:17,300;4145,5949007583
11:07:17,402;4146,02671088963
11:07:17,505;4146,08789460471
11:07:17,609;4146,47047997226
11:07:17,712;4146,2206620836
11:07:17,814;4146,64422873544
11:07:17,918;4147,07868671318
11:07:18,021;4146,84593212332
11:07:18,124;4147,10726030008
11:07:18,227;4147,24314572882
11:07:18,328;4147,43820732188
11:07:18,432;4147,91727714488
11:07:18,536;4148,20258753389
11:07:18,637;4148,45005594277
11:07:18,742;4149,3989276246
11:07:18,844;4149,50286544849
11:07:18,948;4150,76835538371
11:07:19,050;4150,23149745405
11:07:19,154;4151,18071104671
11:07:19,257;4150,46072864848
11:07:19,360;4150,99713821028
11:07:19,463;4150,74776888703
11:07:19,566;4150,67458308032
11:07:19,670;4150,0843781674
11:07:19,770;4149,82296426254
11:07:19,875;4149,5121549761
11:07:19,978;4148,98930636451
11:07:20,080;4148,91184998595
11:07:20,183;4148,01788446868
11:07:20,286;4147,60666177064
11:07:20,390;4147,12494434188
11:07:20,493;4146,8043765433
11:07:20,596;4146,83540654943
11:07:20,698;4146,27800515873
11:07:20,801;4146,44073493553
11:07:20,905;4145,71024631636
11:07:21,008;4146,09120887185
11:07:21,111;4146,10254906743
11:07:21,214;4146,4722138499
11:07:21,317;4146,65890394202
11:07:21,419;4146,69947880958
11:07:21,522;4146,67780241579
11:07:21,626;4147,19264242675
11:07:21,729;4147,72616848993
11:07:21,832;4148,05903769332
11:07:21,935;4147,89368139544
11:07:22,038;4147,58206100864
11:07:22,140;4147,23669902034
11:07:22,243;4147,97410829091
11:07:22,345;4147,05336302647
11:07:22,449;4146,89033595915
11:07:22,553;4146,14163176764
11:07:22,655;4146,25605588588
11:07:22,758;4145,95167549505
11:07:22,861;4146,16091876792
11:07:22,965;4145,84776106018
11:07:23,068;4145,96116015445
11:07:23,179;4145,357716125
11:07:23,273;4145,62346640893
11:07:23,377;4144,98324787333
11:07:23,480;4145,37286085007
11:07:23,581;4144,31319831732
11:07:23,686;4145,01861651185
11:07:23,789;4144,3296435811
11:07:23,892;4144,31830310853
11:07:23,995;4144,47896148009
11:07:24,098;4144,58945440939
11:07:24,201;4145,01707873822
11:07:24,304;4144,89590597519
11:07:24,407;4144,85073960299
11:07:24,508;4145,17591938019
11:07:24,613;4145,40574636015
11:07:24,714;4145,60593269853
11:07:24,819;4146,55537776044
11:07:24,922;4146,47067933119
11:07:25,024;4147,41623985119
11:07:25,128;4147,09453821527
11:07:25,231;4147,98162667885
11:07:25,334;4147,7987582971
11:07:25,436;4148,4317161019
11:07:25,540;4148,78062328775
11:07:25,642;4148,66190768826
11:07:25,746;4149,3110099303
11:07:25,848;4148,57178684128
11:07:25,952;4148,77607407565
11:07:26,054;4149,66002352645
11:07:26,157;4149,21270954928
11:07:26,261;4149,71084970622
11:07:26,363;4149,2200342883
11:07:26,467;4149,52695647013
11:07:26,570;4149,59241091648
11:07:26,674;4150,0527942358
11:07:26,776;4150,52780592127
11:07:26,877;4150,67165673761
11:07:26,982;4150,77749489829
11:07:27,085;4150,98611743582
11:07:27,188;4151,57877747161
11:07:27,290;4151,53948327122
11:07:27,394;4152,37006592268
11:07:27,498;4152,32361788546
11:07:27,599;4152,24176203828
11:07:27,702;4152,27714852188
11:07:27,804;4152,18220142713
11:07:27,909;4151,79647680916
11:07:28,012;4151,60668964995
11:07:28,116;4151,41107228999
11:07:28,218;4151,07448686347
11:07:28,321;4150,86735907387
11:07:28,432;4149,93817802421
11:07:28,525;4150,03331750355
11:07:28,630;4148,98125698518
11:07:28,732;4149,71926344067
11:07:28,836;4148,47619807483
11:07:28,939;4149,50250460914
11:07:29,040;4148,60371225667
